Categories,Dimension,Notes,Valeur,Unite,Driving/Driven
Vue auxiliare haubans bases/Chainstays/Drive side,S4,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Center to center,,397,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,E1,,0,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,E2,,0,mm,Driven
Vue auxiliare haubans bases/Chainstays/Drive side,Minimum length,,398,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,HR,,13,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,HF,,17,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,F,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,H,,24,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,J,,25,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,K,,8,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,X,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,Z,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,Extension de la face externe du boitier de pedalier depuis le bord de la base,,29,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Longueur des bases,,330,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Longueur des bases 2,,450,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Bases angle de decoupe,,25.1,°,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Angle at dropout,,13.3,°,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,A,,264,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,B,,18,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,R1,,100,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,∠1,,-26.4,°,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,C,,132,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,D,,8,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,R2,,100,mm,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,∠2,,-14.6,°,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,E,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,F,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,R3,,N/A,,Driving
Vue auxiliare haubans bases/Chainstays/Non-drive side,∠3,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Z1,,132,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Z2,,134,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Z3,,68,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Z4,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,S1,,119,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,S2,,98,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,S3,,45,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,S4,,N/A,,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Center to center,,397,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,E1,,0,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,E2,,0,mm,Driven
Vue auxiliare haubans bases/Chainstays/Non-drive side,Minimum length,,398,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,HR,,15,mm,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,HF,,15,mm,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,Z,,9,mm,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,J,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,K,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,Longueur hauban,,430,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Angle at dropout,,5.0,°,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,A,,320,mm,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,B,,25,mm,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,R1,,110,mm,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,∠1,,17.2,°,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,C,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,D,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,R2,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,∠2,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,E,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,F,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,R3,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Drive side,∠3,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Z1,,321,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Z2,,113,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Z3,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Z4,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,S1,,304,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,S2,,96,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,S3,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,S4,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Center to center,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,E1,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,E2,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Drive side,Minimum length,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,HR,,15,mm,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,HF,,15,mm,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,Z,,-9,mm,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,J,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,K,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,Longueur hauban,,430,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Angle at dropout,,5.0,°,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,A,,320,mm,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,B,,25,mm,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,R1,,110,mm,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,∠1,,-17.2,°,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,C,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,D,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,R2,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,∠2,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,E,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,F,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,R3,,N/A,,Driving
Vue auxiliare haubans bases/Seatstays/Non-drive side,∠3,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Z1,,321,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Z2,,113,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Z3,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Z4,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,S1,,304,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,S2,,96,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,S3,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,S4,,N/A,,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Center to center,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,E1,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,E2,,0,mm,Driven
Vue auxiliare haubans bases/Seatstays/Non-drive side,Minimum length,,0,mm,Driven
Tubes/Boite de pedalier,Diametre boitier de pedalier,,40,mm,Driving
Tubes/Bases arriere/Drive side,VR,,20,mm,Driving
Tubes/Bases arriere/Drive side,VF,,8,mm,Driving
Tubes/Bases arriere/Drive side,T,,300,mm,Driving
Tubes/Bases arriere/Drive side,E,,0,mm,Driven
Tubes/Bases arriere/Drive side,G,,345,mm,Driving
Tubes/Bases arriere/Drive side,A,,N/A,,Driving
Tubes/Bases arriere/Drive side,B,,N/A,,Driving
Tubes/Bases arriere/Drive side,R1,,N/A,,Driving
Tubes/Bases arriere/Drive side,∠1,,N/A,,Driven
Tubes/Bases arriere/Drive side,C,,N/A,,Driving
Tubes/Bases arriere/Drive side,D,,N/A,,Driving
Tubes/Bases arriere/Drive side,R2,,N/A,,Driving
Tubes/Bases arriere/Drive side,∠2,,N/A,,Driven
Tubes/Bases arriere/Drive side,E,,N/A,,Driving
Tubes/Bases arriere/Drive side,F,,N/A,,Driving
Tubes/Bases arriere/Drive side,R3,,N/A,,Driving
Tubes/Bases arriere/Drive side,∠3,,N/A,,Driven
Tubes/Bases arriere/Drive side,Z1,,N/A,,Driven
Tubes/Bases arriere/Drive side,Z2,,N/A,,Driven
Tubes/Bases arriere/Drive side,Z3,,N/A,,Driven
Tubes/Bases arriere/Drive side,Z4,,N/A,,Driven
Tubes/Bases arriere/Drive side,S1,,N/A,,Driven
Tubes/Bases arriere/Drive side,S2,,N/A,,Driven
Tubes/Bases arriere/Drive side,S3,,N/A,,Driven
Tubes/Bases arriere/Drive side,S4,,N/A,,Driven
Tubes/Bases arriere/Drive side,Center to center,,418,mm,Driven
Tubes/Bases arriere/Drive side,E1,,0,mm,Driven
Tubes/Bases arriere/Drive side,E2,,0,mm,Driven
Tubes/Bases arriere/Drive side,Minimum length,,0,mm,Driven
Tubes/Bases arriere/Non-drive side,VR,,20,mm,Driving
Tubes/Bases arriere/Non-drive side,VF,,8,mm,Driving
Tubes/Bases arriere/Non-drive side,T,,300,mm,Driving
Tubes/Bases arriere/Non-drive side,E,,0,mm,Driven
Tubes/Bases arriere/Non-drive side,G,,345,mm,Driving
Tubes/Bases arriere/Non-drive side,A,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,B,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,R1,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,∠1,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,C,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,D,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,R2,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,∠2,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,E,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,F,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,R3,,N/A,,Driving
Tubes/Bases arriere/Non-drive side,∠3,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,Z1,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,Z2,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,Z3,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,Z4,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,S1,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,S2,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,S3,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,S4,,N/A,,Driven
Tubes/Bases arriere/Non-drive side,Center to center,,418,mm,Driven
Tubes/Bases arriere/Non-drive side,E1,,0,mm,Driven
Tubes/Bases arriere/Non-drive side,E2,,0,mm,Driven
Tubes/Bases arriere/Non-drive side,Minimum length,,0,mm,Driven
Tubes/Bridge,Rear axle to chain stay brake hole,,N/A,,Driven
Tubes/Bridge,Rear axle to chain stay bridge,,N/A,,Driving
Tubes/Tube diagonal,G,,35,mm,Driving
Tubes/Tube diagonal,J,,48,mm,Driving
Tubes/Tube diagonal,Decalage bord entrant,,24,mm,Driven
Tubes/Tube diagonal,Decallage a la boite de pedalier,,0,mm,Driving
Tubes/Tube diagonal,A,,N/A,,Driving
Tubes/Tube diagonal,B,,N/A,,Driving
Tubes/Tube diagonal,R1,,N/A,,Driving
Tubes/Tube diagonal,∠1,,N/A,,Driven
Tubes/Tube diagonal,C,,N/A,,Driving
Tubes/Tube diagonal,D,,N/A,,Driving
Tubes/Tube diagonal,R2,,N/A,,Driving
Tubes/Tube diagonal,∠2,,N/A,,Driven
Tubes/Tube diagonal,E,,N/A,,Driving
Tubes/Tube diagonal,F,,N/A,,Driving
Tubes/Tube diagonal,R3,,N/A,,Driving
Tubes/Tube diagonal,∠3,,N/A,,Driven
Tubes/Tube diagonal,Z1,,N/A,,Driven
Tubes/Tube diagonal,Z2,,N/A,,Driven
Tubes/Tube diagonal,Z3,,N/A,,Driven
Tubes/Tube diagonal,Z4,,N/A,,Driven
Tubes/Tube diagonal,S1,,N/A,,Driven
Tubes/Tube diagonal,S2,,N/A,,Driven
Tubes/Tube diagonal,S3,,N/A,,Driven
Tubes/Tube diagonal,S4,,N/A,,Driven
Tubes/Tube diagonal,Center to center,,731,mm,Driven
Tubes/Tube diagonal,E1,,0,mm,Driven
Tubes/Tube diagonal,E2,,0,mm,Driven
Tubes/Tube diagonal,Minimum length,,703,mm,Driven
Tubes/Douille,∅,,60,mm,Driving
Tubes/Douille,A,,24,mm,Driving
Tubes/Douille,B,,92,mm,Driving
Tubes/Douille,C,,N/A,,Driving
Tubes/Douille,D,,N/A,,Driving
Tubes/Douille,d,,48,mm,Driving
Tubes/Douille,E,,14,mm,Driving
Tubes/Haubans/Drive side,VR,,19,mm,Driving
Tubes/Haubans/Drive side,VF,,19,mm,Driving
Tubes/Haubans/Drive side,T,,200,mm,Driving
Tubes/Haubans/Drive side,E,,170,mm,Driving
Tubes/Haubans/Drive side,F,,14,mm,Driven
Tubes/Haubans/Drive side,G,,N/A,,Driving
Tubes/Haubans/Drive side,R,,N/A,,Driving
Tubes/Haubans/Drive side,W,,N/A,,Driving
Tubes/Haubans/Drive side,Angle haubans par rapport a l'hozizontale,,32.9,°,Driven
Tubes/Haubans/Drive side,Longueur hauban,,439,mm,Driven
Tubes/Haubans/Drive side,Longueur hauban 2,,454,mm,Driven
Tubes/Haubans/Drive side,Wishbone espace au dessus pneu,,N/A,,Driven
Tubes/Haubans/Drive side,A,,N/A,,Driving
Tubes/Haubans/Drive side,B,,N/A,,Driving
Tubes/Haubans/Drive side,R1,,N/A,,Driving
Tubes/Haubans/Drive side,∠1,,N/A,,Driven
Tubes/Haubans/Drive side,C,,N/A,,Driving
Tubes/Haubans/Drive side,D,,N/A,,Driving
Tubes/Haubans/Drive side,R2,,N/A,,Driving
Tubes/Haubans/Drive side,∠2,,N/A,,Driven
Tubes/Haubans/Drive side,E,,N/A,,Driving
Tubes/Haubans/Drive side,F,,N/A,,Driving
Tubes/Haubans/Drive side,R3,,N/A,,Driving
Tubes/Haubans/Drive side,∠3,,N/A,,Driven
Tubes/Haubans/Drive side,Z1,,N/A,,Driven
Tubes/Haubans/Drive side,Z2,,N/A,,Driven
Tubes/Haubans/Drive side,Z3,,N/A,,Driven
Tubes/Haubans/Drive side,Z4,,N/A,,Driven
Tubes/Haubans/Drive side,S1,,N/A,,Driven
Tubes/Haubans/Drive side,S2,,N/A,,Driven
Tubes/Haubans/Drive side,S3,,N/A,,Driven
Tubes/Haubans/Drive side,S4,,N/A,,Driven
Tubes/Haubans/Drive side,Center to center,,424,mm,Driven
Tubes/Haubans/Drive side,E1,,0,mm,Driven
Tubes/Haubans/Drive side,E2,,0,mm,Driven
Tubes/Haubans/Drive side,Minimum length,,435,mm,Driven
Tubes/Haubans/Non-drive side,VR,,19,mm,Driving
Tubes/Haubans/Non-drive side,VF,,19,mm,Driving
Tubes/Haubans/Non-drive side,T,,200,mm,Driving
Tubes/Haubans/Non-drive side,E,,170,mm,Driving
Tubes/Haubans/Non-drive side,F,,14,mm,Driven
Tubes/Haubans/Non-drive side,G,,N/A,,Driving
Tubes/Haubans/Non-drive side,R,,N/A,,Driving
Tubes/Haubans/Non-drive side,W,,N/A,,Driving
Tubes/Haubans/Non-drive side,Angle haubans par rapport a l'hozizontale,,32.9,°,Driven
Tubes/Haubans/Non-drive side,Longueur hauban,,439,mm,Driven
Tubes/Haubans/Non-drive side,Longueur hauban 2,,454,mm,Driven
Tubes/Haubans/Non-drive side,Wishbone espace au dessus pneu,,N/A,,Driven
Tubes/Haubans/Non-drive side,A,,N/A,,Driving
Tubes/Haubans/Non-drive side,B,,N/A,,Driving
Tubes/Haubans/Non-drive side,R1,,N/A,,Driving
Tubes/Haubans/Non-drive side,∠1,,N/A,,Driven
Tubes/Haubans/Non-drive side,C,,N/A,,Driving
Tubes/Haubans/Non-drive side,D,,N/A,,Driving
Tubes/Haubans/Non-drive side,R2,,N/A,,Driving
Tubes/Haubans/Non-drive side,∠2,,N/A,,Driven
Tubes/Haubans/Non-drive side,E,,N/A,,Driving
Tubes/Haubans/Non-drive side,F,,N/A,,Driving
Tubes/Haubans/Non-drive side,R3,,N/A,,Driving
Tubes/Haubans/Non-drive side,∠3,,N/A,,Driven
Tubes/Haubans/Non-drive side,Z1,,N/A,,Driven
Tubes/Haubans/Non-drive side,Z2,,N/A,,Driven
Tubes/Haubans/Non-drive side,Z3,,N/A,,Driven
Tubes/Haubans/Non-drive side,Z4,,N/A,,Driven
Tubes/Haubans/Non-drive side,S1,,N/A,,Driven
Tubes/Haubans/Non-drive side,S2,,N/A,,Driven
Tubes/Haubans/Non-drive side,S3,,N/A,,Driven
Tubes/Haubans/Non-drive side,S4,,N/A,,Driven
Tubes/Haubans/Non-drive side,Center to center,,424,mm,Driven
Tubes/Haubans/Non-drive side,E1,,0,mm,Driven
Tubes/Haubans/Non-drive side,E2,,0,mm,Driven
Tubes/Haubans/Non-drive side,Minimum length,,435,mm,Driven
Tubes/Bridge,Rear axle to seat stay brake hole,,352,mm,Driving
Tubes/Bridge,Rear axle to seat stay bridge,,N/A,,Driven
Tubes/Tube de selle,A,,N/A,,Driving
Tubes/Tube de selle,B,,N/A,,Driving
Tubes/Tube de selle,C,,N/A,,Driving
Tubes/Tube de selle,∅ en bas,,29,mm,Driving
Tubes/Tube de selle,∅ en haut,,34,mm,Driving
Tubes/Tube de selle,Decalage bord entrant,,17,mm,Driven
Tubes/Tube de selle,Decallage a la boite de pedalier,,0,mm,Driving
Tubes/Tube de selle,Profondeur de la decoupe tige de selle pour roue arriere,,N/A,,Driven
Tubes/Tube de selle,Point superieur du tube de selle au point superieur du debut de decoupe pour roue arriere,,N/A,,Driven
Tubes/Tube de selle,Decoupage roue ∅,,N/A,,Driving
Tubes/Tube de selle,J,,N/A,,Driven
Tubes/Tube de selle,K,,N/A,,Driven
Tubes/Tube de selle,A,,192,mm,Driving
Tubes/Tube de selle,B,,30,mm,Driving
Tubes/Tube de selle,R1,,500,mm,Driving
Tubes/Tube de selle,∠1,,8.9,°,Driven
Tubes/Tube de selle,C,,N/A,,Driving
Tubes/Tube de selle,D,,N/A,,Driving
Tubes/Tube de selle,R2,,N/A,,Driving
Tubes/Tube de selle,∠2,,N/A,,Driven
Tubes/Tube de selle,E,,N/A,,Driving
Tubes/Tube de selle,F,,N/A,,Driving
Tubes/Tube de selle,R3,,N/A,,Driving
Tubes/Tube de selle,∠3,,N/A,,Driven
Tubes/Tube de selle,Z1,,194,mm,Driven
Tubes/Tube de selle,Z2,,288,mm,Driven
Tubes/Tube de selle,Z3,,N/A,,Driven
Tubes/Tube de selle,Z4,,N/A,,Driven
Tubes/Tube de selle,S1,,156,mm,Driven
Tubes/Tube de selle,S2,,249,mm,Driven
Tubes/Tube de selle,S3,,N/A,,Driven
Tubes/Tube de selle,S4,,N/A,,Driven
Tubes/Tube de selle,Center to center,,531,mm,Driven
Tubes/Tube de selle,E1,,0,mm,Driven
Tubes/Tube de selle,E2,,0,mm,Driven
Tubes/Tube de selle,Minimum length,,0,mm,Driven
Tubes/Tube horizontal,G,,30,mm,Driving
Tubes/Tube horizontal,J,,30,mm,Driving
Tubes/Tube horizontal,A,,N/A,,Driving
Tubes/Tube horizontal,B,,N/A,,Driving
Tubes/Tube horizontal,R1,,N/A,,Driving
Tubes/Tube horizontal,∠1,,N/A,,Driven
Tubes/Tube horizontal,C,,N/A,,Driving
Tubes/Tube horizontal,D,,N/A,,Driving
Tubes/Tube horizontal,R2,,N/A,,Driving
Tubes/Tube horizontal,∠2,,N/A,,Driven
Tubes/Tube horizontal,E,,N/A,,Driving
Tubes/Tube horizontal,F,,N/A,,Driving
Tubes/Tube horizontal,R3,,N/A,,Driving
Tubes/Tube horizontal,∠3,,N/A,,Driven
Tubes/Tube horizontal,Z1,,N/A,,Driven
Tubes/Tube horizontal,Z2,,N/A,,Driven
Tubes/Tube horizontal,Z3,,N/A,,Driven
Tubes/Tube horizontal,Z4,,N/A,,Driven
Tubes/Tube horizontal,S1,,N/A,,Driven
Tubes/Tube horizontal,S2,,N/A,,Driven
Tubes/Tube horizontal,S3,,N/A,,Driven
Tubes/Tube horizontal,S4,,N/A,,Driven
Tubes/Tube horizontal,Center to center,,589,mm,Driven
Tubes/Tube horizontal,E1,,0,mm,Driven
Tubes/Tube horizontal,E2,,0,mm,Driven
Tubes/Tube horizontal,Minimum length,,561,mm,Driven
Pattes arrière,Standard,,Custom,,Driving
Pattes arrière,Style,,Hooded,,Driving
Pattes arrière,Eyelets,,1,,Driving
Pattes arrière,Cx,,20,mm,Driving
Pattes arrière,Cy,,-3,mm,Driving
Pattes arrière,Cz,,6,mm,Driving
Pattes arrière,Sx,,10,mm,Driving
Pattes arrière,Sy,,12,mm,Driving
Pattes arrière,Sz,,6,mm,Driving
Pattes arrière,C2x,,20,mm,Driving
Pattes arrière,C2y,,-3,mm,Driving
Pattes arrière,C2z,,6,mm,Driving
Pattes arrière,S2x,,10,mm,Driving
Pattes arrière,S2y,,12,mm,Driving
Pattes arrière,S2z,,6,mm,Driving
Pattes arrière,L,,27,mm,Driving
Pattes arrière,X,,8,mm,Driving
Pattes arrière,A,,10,mm,Driving
Pattes arrière,T,,6,mm,Driving
Pattes arrière,ξ,,-90.0,°,Driving
Pattes arrière,D,,8,mm,Driving
Pattes arrière,∅,,10,mm,Driving
Pattes arrière,d,,N/A,,Driving
Pattes arrière,E,,23,mm,Driven
Pattes arrière,F,,40,mm,Driven
Pattes arrière,G,,26,mm,Driven
Pattes arrière,R,,20,mm,Driven
Pattes arrière,p,,N/A,,Driving
Pattes arrière,t,,2,mm,Driven
Pattes arrière,R1,,20,mm,Driving
Pattes arrière,A1,,120.0,°,Driving
Pattes arrière,R2,,N/A,,Driving
Pattes arrière,A2,,N/A,,Driving
Pattes arrière,Z,,0,mm,Driving
Pattes arrière,Y,,N/A,,Driving
Pattes arrière,S,,N/A,,Driving
Pattes arrière,ϑ,,0.8,°,Driving
Pattes arrière,Looped stay radius,,0,mm,Driven
Pattes arrière,Extension for looped stays,,0,mm,Driven
Roues/Avant,Standard,,Custom,,Driving
Roues/Avant,Style,,Rayonnees,,Driving
Roues/Avant,Diametre pneu,,736,mm,Driving
Roues/Avant,W,,56,mm,Driving
Roues/Avant,Diametre bas jante,,622,mm,Driving
Roues/Avant,Diametre effectif de jante,,582,mm,Driving
Roues/Avant,DS longueur rayons,,281,mm,Driven
Roues/Avant,NDS longueur rayons,,288,mm,Driven
Roues/Arrière,Standard,,Custom,,Driving
Roues/Arrière,Style,,Rayonnees,,Driving
Roues/Arrière,Diametre pneu,,736,mm,Driving
Roues/Arrière,W,,56,mm,Driving
Roues/Arrière,Diametre bas jante,,622,mm,Driving
Roues/Arrière,Diametre effectif de jante,,582,mm,Driving
Roues/Arrière,DS longueur rayons,,281,mm,Driven
Roues/Arrière,NDS longueur rayons,,288,mm,Driven
